State,District,Date,Year,Month,Avg_rainfall,Agency_name
Assam,Barpeta,2018-09-29,2018,09,12.30139597,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-07,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-13,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-19,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-21,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-28,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-10-31,2018,10,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-04,2018,11,3.014585302,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-08,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-11,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-10,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-22,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-23,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-11-30,2018,11,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-02,2018,12,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-04,2018,12,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-05,2018,12,0.002710555,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-11,2018,12,0.065923693,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-15,2018,12,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-18,2018,12,22.74897094,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-21,2018,12,0,"NRSC VIC MODEL"
Assam,Barpeta,2018-12-24,2018,12,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-07-24,2018,07,15.71488154,"NRSC VIC MODEL"
Assam,Biswanath,2018-07-26,2018,07,0.497088885,"NRSC VIC MODEL"
Assam,Biswanath,2018-07-31,2018,07,4.220065463,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-02,2018,08,3.370175959,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-03,2018,08,18.4525181,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-04,2018,08,1.99642211,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-08,2018,08,21.5764863,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-12,2018,08,9.738925825,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-11,2018,08,14.75966392,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-15,2018,08,8.084708286,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-19,2018,08,0.74340461,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-25,2018,08,32.03369161,"NRSC VIC MODEL"
Assam,Biswanath,2018-08-31,2018,08,6.865422313,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-05,2018,09,2.283363734,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-09,2018,09,11.08389914,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-18,2018,09,0.256449064,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-23,2018,09,23.79406816,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-22,2018,09,2.313948836,"NRSC VIC MODEL"
Assam,Biswanath,2018-09-29,2018,09,19.37770588,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-04,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-05,2018,10,0.142329462,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-09,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-13,2018,10,0.266119694,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-20,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-24,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-10-26,2018,10,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-03,2018,11,0.656939616,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-04,2018,11,0.752103549,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-07,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-12,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-24,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-21,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-26,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-11-28,2018,11,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-12-05,2018,12,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-12-23,2018,12,0,"NRSC VIC MODEL"
Assam,Biswanath,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-07-24,2018,07,24.53652323,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-07-27,2018,07,9.668907975,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-07-29,2018,07,10.53998179,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-08-01,2018,08,30.72846019,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-08-13,2018,08,1.711913837,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-08-25,2018,08,19.56126211,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-09-13,2018,09,48.53658831,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-09-15,2018,09,15.7953242,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-09-17,2018,09,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-09-18,2018,09,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-09-25,2018,09,30.27026924,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-05,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-07,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-11,2018,10,14.75292557,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-16,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-20,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-21,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-23,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-10-27,2018,10,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-01,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-05,2018,11,7.932296112,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-11,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-16,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-20,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-28,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-11-30,2018,11,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-12-06,2018,12,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-12-07,2018,12,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-12-09,2018,12,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-12-19,2018,12,0,"NRSC VIC MODEL"
Assam,Bongaigaon,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Cachar,2018-08-01,2018,08,15.15468459,"NRSC VIC MODEL"
Assam,Cachar,2018-08-03,2018,08,1.165813275,"NRSC VIC MODEL"
Assam,Cachar,2018-08-05,2018,08,21.51435562,"NRSC VIC MODEL"
Assam,Cachar,2018-08-10,2018,08,8.687531065,"NRSC VIC MODEL"
Assam,Cachar,2018-08-12,2018,08,13.90438008,"NRSC VIC MODEL"
Assam,Cachar,2018-08-21,2018,08,6.2018327,"NRSC VIC MODEL"
Assam,Cachar,2018-08-24,2018,08,7.781977135,"NRSC VIC MODEL"
Assam,Cachar,2018-09-02,2018,09,0.52562457,"NRSC VIC MODEL"
Assam,Cachar,2018-09-08,2018,09,1.758162092,"NRSC VIC MODEL"
Assam,Cachar,2018-09-19,2018,09,2.90492081,"NRSC VIC MODEL"
Assam,Cachar,2018-09-27,2018,09,11.07328735,"NRSC VIC MODEL"
Assam,Cachar,2018-09-28,2018,09,0,"NRSC VIC MODEL"
Assam,Cachar,2018-10-02,2018,10,0,"NRSC VIC MODEL"
Assam,Cachar,2018-10-04,2018,10,0,"NRSC VIC MODEL"
Assam,Cachar,2018-10-06,2018,10,0.082160288,"NRSC VIC MODEL"
Assam,Cachar,2018-10-09,2018,10,6.771049656,"NRSC VIC MODEL"
Assam,Cachar,2018-10-17,2018,10,0,"NRSC VIC MODEL"
Assam,Cachar,2018-10-27,2018,10,34.27236178,"NRSC VIC MODEL"
Assam,Cachar,2018-10-29,2018,10,7.530812179,"NRSC VIC MODEL"
Assam,Cachar,2018-11-14,2018,11,0,"NRSC VIC MODEL"
Assam,Cachar,2018-11-19,2018,11,0,"NRSC VIC MODEL"
Assam,Cachar,2018-11-26,2018,11,0,"NRSC VIC MODEL"
Assam,Cachar,2018-12-02,2018,12,0,"NRSC VIC MODEL"
Assam,Cachar,2018-12-05,2018,12,0,"NRSC VIC MODEL"
Assam,Cachar,2018-12-11,2018,12,0.011306937,"NRSC VIC MODEL"
Assam,Cachar,2018-12-16,2018,12,1.264771172,"NRSC VIC MODEL"
Assam,Cachar,2018-12-18,2018,12,29.0536332,"NRSC VIC MODEL"
Assam,Cachar,2018-12-15,2018,12,0,"NRSC VIC MODEL"
Assam,Cachar,2018-12-29,2018,12,0,"NRSC VIC MODEL"
Assam,Cachar,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-07-27,2018,07,15.50046466,"NRSC VIC MODEL"
Assam,Charaideo,2018-07-28,2018,07,21.24711075,"NRSC VIC MODEL"
Assam,Charaideo,2018-07-29,2018,07,32.24145955,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-01,2018,08,68.24041532,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-13,2018,08,10.47353991,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-16,2018,08,10.27833566,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-18,2018,08,1.622090206,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-24,2018,08,67.15614054,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-26,2018,08,98.83791914,"NRSC VIC MODEL"
Assam,Charaideo,2018-08-25,2018,08,13.88625116,"NRSC VIC MODEL"
Assam,Charaideo,2018-09-18,2018,09,8.637167461,"NRSC VIC MODEL"
Assam,Charaideo,2018-09-20,2018,09,3.076084319,"NRSC VIC MODEL"
Assam,Charaideo,2018-10-15,2018,10,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-10-22,2018,10,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-10-27,2018,10,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-10-28,2018,10,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-05,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-09,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-12,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-19,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-17,2018,11,23.43578682,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-22,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-23,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-11-30,2018,11,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-07,2018,12,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-10,2018,12,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-13,2018,12,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-16,2018,12,0,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-17,2018,12,3.957917492,"NRSC VIC MODEL"
Assam,Charaideo,2018-12-18,2018,12,22.57359427,"NRSC VIC MODEL"
Assam,Chirang,2018-07-27,2018,07,7.984429118,"NRSC VIC MODEL"
Assam,Chirang,2018-07-31,2018,07,14.4697422,"NRSC VIC MODEL"
Assam,Chirang,2018-08-06,2018,08,5.389155976,"NRSC VIC MODEL"
Assam,Chirang,2018-08-07,2018,08,18.63167925,"NRSC VIC MODEL"
Assam,Chirang,2018-08-10,2018,08,0.267903792,"NRSC VIC MODEL"
Assam,Chirang,2018-08-08,2018,08,5.501049905,"NRSC VIC MODEL"
Assam,Chirang,2018-08-14,2018,08,1.827907665,"NRSC VIC MODEL"
Assam,Chirang,2018-08-17,2018,08,1.743926304,"NRSC VIC MODEL"
Assam,Chirang,2018-08-20,2018,08,1.329759036,"NRSC VIC MODEL"
Assam,Chirang,2018-08-19,2018,08,5.529287352,"NRSC VIC MODEL"
Assam,Chirang,2018-08-23,2018,08,4.76368164,"NRSC VIC MODEL"
Assam,Chirang,2018-08-26,2018,08,4.371227154,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-09-14,2018,09,7.509900788,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-09-28,2018,09,0.129588397,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-10-20,2018,10,0.052012905,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-10-22,2018,10,0.022927643,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-10-25,2018,10,0.07631653,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-10-29,2018,10,0.825056213,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-10-31,2018,10,0,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-02,2018,11,0.947498383,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-04,2018,11,8.390621704,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-05,2018,11,5.895467036,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-07,2018,11,0.073738078,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-15,2018,11,4.7442427,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-11-19,2018,11,0.12316446,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-12-02,2018,12,0,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-12-07,2018,12,0.114642252,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-12-09,2018,12,0,"NRSC VIC MODEL"
"Arunachal Pradesh","Upper Siang",2018-12-18,2018,12,13.68176658,"NRSC VIC MODEL"
