State,Year,Crop,Area_ha,Production_tonnes
Chhattisgarh,2011,Groundnut,28677.0,37854.0
Manipur,2006,Dry Chillies,8910.0,5350.0
Punjab,2009,Urad,2800.0,1400.0
Rajasthan,2010,Moong(Green Gram),1049490.0,652228.0
Maharashtra,2009,Ragi,120200.0,108700.0
Telangana,2006,Niger Seed,429.0,157.0
Meghalaya,2014,Dry Ginger,9777.0,63555.0
Andhra Pradesh,2012,Arecanut,581.0,365.0
Jharkhand,2005,Rice,658125.4349999999,614026.71
Odisha,2007,Urad,63159.333333333336,46319.9
Uttarakhand,2008,Horse-Gram,9531.0,7419.0
West Bengal,2014,Moth,16.0,14.0
West Bengal,2004,Dry Ginger,9125.0,18781.0
Himachal Pradesh,2005,Onion,829.0,4045.0
Meghalaya,2009,Small Millets,2362.0,1889.0
Tripura,2011,Rice,265999.0,718304.0
Odisha,2008,Sugarcane,10763.0,646243.7
Jharkhand,2007,Maize,76327.31,93851.0
Meghalaya,2009,Black Pepper,890.0,461.0
Punjab,2014,Gram,18000.0,19800.0
Kerala,2013,Dry Ginger,4538.0,21521.0
Mizoram,2004,Cotton(Lint),289.0,975.0
Maharashtra,2004,Other Cereals & Millets,47950.0,44800.0
Madhya Pradesh,2007,Linseed,108444.0,37955.0
Tripura,2009,Groundnut,211.5,464.0
Gujarat,2005,Potato,44600.0,1238300.0
West Bengal,2009,Arhar/Tur,755.0,582.0
Chandigarh,2004,Maize,60.0,120.0
Nagaland,2006,Cardamom,900.0,1440.0
Karnataka,2012,Soyabean,169509.0,177805.0
Andhra Pradesh,2009,Bajra,17585.5,45249.0
Rajasthan,2008,Banana,10.0,0.0
Maharashtra,2009,Rapeseed &Mustard,5800.0,2240.0
Bihar,2013,Moong(Green Gram),94127.0,105373.0
West Bengal,2006,Peas & Beans (Pulses),12495.0,8436.0
Nagaland,2009,Barley,500.0,700.0
Tripura,2013,Arhar/Tur,3854.0,2758.0
Karnataka,2008,Tobacco,108139.0,54936.0
Maharashtra,2013,Cotton(Lint),4159500.0,8834200.0
Tripura,2013,Urad,871.5,1112.0
Assam,2009,Linseed,7003.0,3578.0
Andaman And Nicobar Islands,2005,Black Pepper,656.45,35.95
Assam,2011,Banana,47563.0,729102.0
Dadra And Nagar Haveli,2006,Gram,115.0,141.0
Uttar Pradesh,2011,Jowar,192340.0,212514.0
Meghalaya,2011,Small Millets,2290.0,1755.0
Tamil Nadu,2009,Potato,4611.0,84683.0
Chhattisgarh,2010,Barley,2253.0,1196.0
Haryana,2007,Sannhamp,273.0,100.0
Uttar Pradesh,2014,Groundnut,97939.0,84595.0
