State,Year,annual_rainfall_mm
,1901,1284.2
,1902,1349.0
,1903,1568.3
,1904,1514.8
,1905,1357.3
,1906,1408.2
,1907,1447.1
,1908,1430.6
,1909,1535.5
,1910,1598.5
,1911,1417.3
,1912,1397.2
,1913,1544.3
,1914,1598.5
,1915,1437.1
,1916,1479.4
,1917,1850.1
,1918,1297.4
,1919,1758.1
,1920,1402.6
,1921,1324.0
,1922,1466.5
,1923,1258.6
,1924,1263.4
,1925,1807.8
,1926,1535.8
,1927,1525.5
,1928,1585.6
,1929,1637.8
,1930,1446.4
,1931,1477.2
,1932,1440.2
,1933,1851.0
,1934,1488.9
,1935,1219.4
,1936,1876.0
,1937,1567.3
,1938,1441.6
,1939,1563.4
,1940,1687.7
,1941,1435.2
,1942,1448.3
,1943,1586.5
,1944,1608.1
,1945,1538.6
,1946,1614.9
,1947,1410.9
,1948,1333.8
,1949,1348.9
,1950,1392.8
,1951,1396.2
,1952,1516.7
,1953,1437.7
,1954,1208.0
,1955,1597.0
,1956,1885.4
,1957,1277.5
,1958,1624.0
,1959,1495.9
,1960,1593.0
,1961,1945.3
,1962,1346.5
,1963,1562.0
,1964,1354.7
,1965,1174.7
,1966,1286.8
,1967,1427.5
,1968,1464.1
,1969,1283.2
,1970,1412.3
,1971,1596.8
,1972,1324.9
,1973,1573.5
,1974,987.0
,1975,1392.0
,1976,1178.8
,1977,1477.9
,1978,1439.0
,1979,995.9
,1980,1462.9
,1981,1295.7
,1982,1258.5
,1983,1432.0
,1984,1377.6
,1985,1607.3
,1986,1560.0
,1987,1097.6
,1988,1306.9
,1989,1299.7
,1990,1905.0
,1991,1472.8
,1992,1329.5
,1993,1448.0
,1994,1744.6
,1995,1614.0
,1996,1061.8
,1997,1504.5
,1998,1357.1
,1999,1484.3
,2000,1097.2
,2001,1672.5
,2002,1102.8
,2003,1648.2
,2004,1290.4
,2005,1503.4
,2006,1716.9
,2007,1633.8
,2008,1538.9
,2009,1330.3
,2010,1291.9
,2011,1346.2
,2012,1405.9
,2013,1632.4
,2014,1536.9
,2015,1210.1
,2016,1253.5
,2017,1344.5
,1901,979.9
,1902,760.5
,1903,1286.6
,1904,982.2
,1905,1157.7
,1906,1193.1
,1907,1069.6
,1908,1227.3
,1909,1339.9
,1910,1109.4
,1911,1280.2
,1912,936.7
,1913,1000.2
,1914,1692.1
,1915,963.9
,1916,1034.3
,1917,1386.1
,1918,916.5
,1919,1189.2
,1920,889.9
,1921,1057.6
,1922,890.8
,1923,1264.3
,1924,1182.2
,1925,1013.3
,1926,1123.6
,1927,973.1
,1928,1291.0
,1929,1102.7
,1930,1168.0
,1931,955.0
,1932,1039.4
,1933,1187.7
,1934,803.1
,1935,1085.5
,1936,1140.8
,1937,939.6
