State,District,Year,Crop,Area,Production
Andaman And Nicobar Islands,North And Middle Andaman,2006,Banana,957.57,8582.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Black Pepper,175.0,191.14
Andaman And Nicobar Islands,North And Middle Andaman,2006,Cashewnut,40.5,44.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Coconut,3575.0,15400000.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Dry Chillies,235.72,824.3
Andaman And Nicobar Islands,North And Middle Andaman,2006,Dry Ginger,98.66,929.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Other Oilseeds,35.62,21.4
Andaman And Nicobar Islands,North And Middle Andaman,2006,Sugarcane,71.3,1500.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Sweet Potato,30.0,240.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Tapioca,255.0,1420.0
Andaman And Nicobar Islands,North And Middle Andaman,2006,Turmeric,68.0,408.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Arecanut,1296.0,2290.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Arhar/Tur,294.5,90.8
Andaman And Nicobar Islands,North And Middle Andaman,2010,Banana,657.0,7968.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Black Pepper,168.0,13.5
Andaman And Nicobar Islands,North And Middle Andaman,2010,Cashewnut,84.5,39.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Coconut,3668.0,12700000.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Dry Chillies,254.0,402.0
Andaman And Nicobar Islands,North And Middle Andaman,2010,Dry Ginger,110.0,1011.84
Andaman And Nicobar Islands,North And Middle Andaman,2010,Groundnut,4.75,6.8
